DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2023,242300,24,9999,99,1251,
STATSNZ:CEN23_ECI_017(1.0),2023,185800,08,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,192300,13,9999,99,54,
STATSNZ:CEN23_ECI_017(1.0),2023,244400,19,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,133301,05,9999,99,234,
STATSNZ:CEN23_ECI_017(1.0),2023,16,06,9999,99,375,
STATSNZ:CEN23_ECI_017(1.0),2023,150302,17,9999,99,180,
STATSNZ:CEN23_ECI_017(1.0),2023,224900,22,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,146100,12,9999,99,54,
STATSNZ:CEN23_ECI_017(1.0),2023,165001,19,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,145300,17,9999,99,132,
STATSNZ:CEN23_ECI_017(1.0),2023,236800,04,9999,99,42,
STATSNZ:CEN23_ECI_017(1.0),2023,143600,02,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,209800,15,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,203902,20,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,136801,07,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,239500,04,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,170400,11,9999,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,116000,23,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,250901,23,9999,99,39,
STATSNZ:CEN23_ECI_017(1.0),2023,329300,25,9999,99,165,
STATSNZ:CEN23_ECI_017(1.0),2023,339700,20,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,331600,15,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,121500,15,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,333800,05,9999,99,96,
STATSNZ:CEN23_ECI_017(1.0),2023,197603,23,9999,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,175100,16,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,328400,05,9999,99,213,
STATSNZ:CEN23_ECI_017(1.0),2023,143900,22,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,214500,15,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,158603,14,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,238500,24,9999,99,2487,
STATSNZ:CEN23_ECI_017(1.0),2023,214800,999,9999,99,1722,
STATSNZ:CEN23_ECI_017(1.0),2023,204600,15,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,109301,18,9999,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,225200,07,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,314701,23,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,340000,05,9999,99,288,
STATSNZ:CEN23_ECI_017(1.0),2023,172900,06,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,303001,11,9999,99,36,
STATSNZ:CEN23_ECI_017(1.0),2023,255601,16,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,029,05,9999,99,555,
STATSNZ:CEN23_ECI_017(1.0),2023,224600,02,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,134100,999,9999,99,2004,
STATSNZ:CEN23_ECI_017(1.0),2023,336001,15,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,358801,12,9999,99,27,
STATSNZ:CEN23_ECI_017(1.0),2023,304,14,9999,99,30,
STATSNZ:CEN23_ECI_017(1.0),2023,352000,12,9999,99,27,
STATSNZ:CEN23_ECI_017(1.0),2023,204000,10,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,363900,14,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,189102,18,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,115002,03,9999,99,60,
STATSNZ:CEN23_ECI_017(1.0),2023,149600,99,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,184000,25,9999,99,132,
STATSNZ:CEN23_ECI_017(1.0),2023,128301,22,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,225700,17,9999,99,39,
STATSNZ:CEN23_ECI_017(1.0),2023,352400,99,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,129101,25,9999,99,201,
STATSNZ:CEN23_ECI_017(1.0),2023,112102,03,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,145800,99,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,179202,777,9999,99,1086,
STATSNZ:CEN23_ECI_017(1.0),2023,133800,15,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,102201,777,9999,99,2322,
STATSNZ:CEN23_ECI_017(1.0),2023,171803,777,9999,99,1020,
STATSNZ:CEN23_ECI_017(1.0),2023,198400,13,9999,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,200800,02,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,323600,15,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,120900,10,9999,99,48,
STATSNZ:CEN23_ECI_017(1.0),2023,195500,03,9999,99,135,
STATSNZ:CEN23_ECI_017(1.0),2023,128200,05,9999,99,387,
STATSNZ:CEN23_ECI_017(1.0),2023,143400,12,9999,99,45,
STATSNZ:CEN23_ECI_017(1.0),2023,251900,11,9999,99,48,
STATSNZ:CEN23_ECI_017(1.0),2023,256200,21,9999,99,33,
STATSNZ:CEN23_ECI_017(1.0),2023,101801,11,9999,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,344200,02,9999,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,196400,23,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,142600,22,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,180200,06,9999,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,189400,03,9999,99,183,
STATSNZ:CEN23_ECI_017(1.0),2023,316500,18,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,221401,02,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,312100,18,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,323200,18,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,146400,99,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,254300,16,9999,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,150200,14,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,141201,02,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,126601,25,9999,99,195,
STATSNZ:CEN23_ECI_017(1.0),2023,331100,05,9999,99,387,
STATSNZ:CEN23_ECI_017(1.0),2023,348300,99,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,348400,05,9999,99,366,
STATSNZ:CEN23_ECI_017(1.0),2023,305600,16,9999,99,36,
STATSNZ:CEN23_ECI_017(1.0),2023,119700,10,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,251400,24,9999,99,1779,
STATSNZ:CEN23_ECI_017(1.0),2023,165001,01,9999,99,111,
STATSNZ:CEN23_ECI_017(1.0),2023,109900,23,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,187900,11,9999,99,60,
STATSNZ:CEN23_ECI_017(1.0),2023,142201,12,9999,99,45,
STATSNZ:CEN23_ECI_017(1.0),2023,151700,17,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,231900,07,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,321800,18,9999,99,84,
STATSNZ:CEN23_ECI_017(1.0),2023,320100,25,9999,99,162,
STATSNZ:CEN23_ECI_017(1.0),2023,133600,25,9999,99,186,
STATSNZ:CEN23_ECI_017(1.0),2023,228200,09,9999,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,307501,21,9999,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,334200,20,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,218801,07,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,325200,999,9999,99,1107,
STATSNZ:CEN23_ECI_017(1.0),2023,363800,19,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,251100,04,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,150500,07,9999,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,132501,10,9999,99,21,
STATSNZ:CEN23_ECI_017(1.0),2023,051,777,9999,99,57807,
STATSNZ:CEN23_ECI_017(1.0),2023,176202,11,9999,99,90,
STATSNZ:CEN23_ECI_017(1.0),2023,164201,08,9999,99,114,
STATSNZ:CEN23_ECI_017(1.0),2023,141801,07,9999,99,6,
