eurostat: demo_r_pjangrp3 (nuts3)
  DE401: no ISO3 for Eurostat country code 'DE'; skipped
  DE402: no ISO3 for Eurostat country code 'DE'; skipped
  DE403: no ISO3 for Eurostat country code 'DE'; skipped
  DE404: no ISO3 for Eurostat country code 'DE'; skipped
  DE405: no ISO3 for Eurostat country code 'DE'; skipped
  DE406: no ISO3 for Eurostat country code 'DE'; skipped
  DE407: no ISO3 for Eurostat country code 'DE'; skipped
  DE408: no ISO3 for Eurostat country code 'DE'; skipped
  DE409: no ISO3 for Eurostat country code 'DE'; skipped
  DE40A: no ISO3 for Eurostat country code 'DE'; skipped
  DE40B: no ISO3 for Eurostat country code 'DE'; skipped
  DE40C: no ISO3 for Eurostat country code 'DE'; skipped
  DE40D: no ISO3 for Eurostat country code 'DE'; skipped
  DE40E: no ISO3 for Eurostat country code 'DE'; skipped
  DE40F: no ISO3 for Eurostat country code 'DE'; skipped
  DE40G: no ISO3 for Eurostat country code 'DE'; skipped
  DE40H: no ISO3 for Eurostat country code 'DE'; skipped
  DE40I: no ISO3 for Eurostat country code 'DE'; skipped
  DE501: no ISO3 for Eurostat country code 'DE'; skipped
  DE502: no ISO3 for Eurostat country code 'DE'; skipped
  DE600: no ISO3 for Eurostat country code 'DE'; skipped
  DE711: no ISO3 for Eurostat country code 'DE'; skipped
  DE712: no ISO3 for Eurostat country code 'DE'; skipped
  DE713: no ISO3 for Eurostat country code 'DE'; skipped
  DE714: no ISO3 for Eurostat country code 'DE'; skipped
  DE715: no ISO3 for Eurostat country code 'DE'; skipped
  DE716: no ISO3 for Eurostat country code 'DE'; skipped
  DE717: no ISO3 for Eurostat country code 'DE'; skipped
  DE718: no ISO3 for Eurostat country code 'DE'; skipped
  DE719: no ISO3 for Eurostat country code 'DE'; skipped
  DE71A: no ISO3 for Eurostat country code 'DE'; skipped
  DE71B: no ISO3 for Eurostat country code 'DE'; skipped
  DE71C: no ISO3 for Eurostat country code 'DE'; skipped
  DE71D: no ISO3 for Eurostat country code 'DE'; skipped
  DE71E: no ISO3 for Eurostat country code 'DE'; skipped
  DE721: no ISO3 for Eurostat country code 'DE'; skipped
  DE722: no ISO3 for Eurostat country code 'DE'; skipped
  DE723: no ISO3 for Eurostat country code 'DE'; skipped
  DE724: no ISO3 for Eurostat country code 'DE'; skipped
  DE725: no ISO3 for Eurostat country code 'DE'; skipped
  DE731: no ISO3 for Eurostat country code 'DE'; skipped
  DE732: no ISO3 for Eurostat country code 'DE'; skipped
  DE733: no ISO3 for Eurostat country code 'DE'; skipped
  DE734: no ISO3 for Eurostat country code 'DE'; skipped
  DE735: no ISO3 for Eurostat country code 'DE'; skipped
  DE736: no ISO3 for Eurostat country code 'DE'; skipped
  DE737: no ISO3 for Eurostat country code 'DE'; skipped
  DE803: no ISO3 for Eurostat country code 'DE'; skipped
  DE804: no ISO3 for Eurostat country code 'DE'; skipped
  DE80J: no ISO3 for Eurostat country code 'DE'; skipped
  DE80K: no ISO3 for Eurostat country code 'DE'; skipped
  DE80L: no ISO3 for Eurostat country code 'DE'; skipped
  DE80M: no ISO3 for Eurostat country code 'DE'; skipped
  DE80N: no ISO3 for Eurostat country code 'DE'; skipped
  DE80O: no ISO3 for Eurostat country code 'DE'; skipped
  DE911: no ISO3 for Eurostat country code 'DE'; skipped
  DE912: no ISO3 for Eurostat country code 'DE'; skipped
  DE913: no ISO3 for Eurostat country code 'DE'; skipped
  DE914: no ISO3 for Eurostat country code 'DE'; skipped
  DE916: no ISO3 for Eurostat country code 'DE'; skipped
  DE917: no ISO3 for Eurostat country code 'DE'; skipped
  DE918: no ISO3 for Eurostat country code 'DE'; skipped
  DE91A: no ISO3 for Eurostat country code 'DE'; skipped
  DE91B: no ISO3 for Eurostat country code 'DE'; skipped
  DE91C: no ISO3 for Eurostat country code 'DE'; skipped
  DE922: no ISO3 for Eurostat country code 'DE'; skipped
  DE923: no ISO3 for Eurostat country code 'DE'; skipped
  DE925: no ISO3 for Eurostat country code 'DE'; skipped
  DE926: no ISO3 for Eurostat country code 'DE'; skipped
  DE927: no ISO3 for Eurostat country code 'DE'; skipped
  DE928: no ISO3 for Eurostat country code 'DE'; skipped
  DE929: no ISO3 for Eurostat country code 'DE'; skipped
  DE931: no ISO3 for Eurostat country code 'DE'; skipped
  DE932: no ISO3 for Eurostat country code 'DE'; skipped
  DE933: no ISO3 for Eurostat country code 'DE'; skipped
  DE934: no ISO3 for Eurostat country code 'DE'; skipped
  DE935: no ISO3 for Eurostat country code 'DE'; skipped
  DE936: no ISO3 for Eurostat country code 'DE'; skipped
  DE937: no ISO3 for Eurostat country code 'DE'; skipped
  DE938: no ISO3 for Eurostat country code 'DE'; skipped
  DE939: no ISO3 for Eurostat country code 'DE'; skipped
  DE93A: no ISO3 for Eurostat country code 'DE'; skipped
  DE93B: no ISO3 for Eurostat country code 'DE'; skipped
  DE941: no ISO3 for Eurostat country code 'DE'; skipped
  DE942: no ISO3 for Eurostat country code 'DE'; skipped
  DE943: no ISO3 for Eurostat country code 'DE'; skipped
  DE944: no ISO3 for Eurostat country code 'DE'; skipped
  DE945: no ISO3 for Eurostat country code 'DE'; skipped
  DE946: no ISO3 for Eurostat country code 'DE'; skipped
  DE947: no ISO3 for Eurostat country code 'DE'; skipped
  DE948: no ISO3 for Eurostat country code 'DE'; skipped
  DE949: no ISO3 for Eurostat country code 'DE'; skipped
  DE94A: no ISO3 for Eurostat country code 'DE'; skipped
  DE94B: no ISO3 for Eurostat country code 'DE'; skipped
  DE94C: no ISO3 for Eurostat country code 'DE'; skipped
  DE94D: no ISO3 for Eurostat country code 'DE'; skipped
  DE94E: no ISO3 for Eurostat country code 'DE'; skipped
  DE94F: no ISO3 for Eurostat country code 'DE'; skipped
  DE94G: no ISO3 for Eurostat country code 'DE'; skipped
  DE94H: no ISO3 for Eurostat country code 'DE'; skipped
  DEA11: no ISO3 for Eurostat country code 'DE'; skipped
  DEA12: no ISO3 for Eurostat country code 'DE'; skipped
  DEA13: no ISO3 for Eurostat country code 'DE'; skipped
  DEA14: no ISO3 for Eurostat country code 'DE'; skipped
  DEA15: no ISO3 for Eurostat country code 'DE'; skipped
  DEA16: no ISO3 for Eurostat country code 'DE'; skipped
  DEA17: no ISO3 for Eurostat country code 'DE'; skipped
  DEA18: no ISO3 for Eurostat country code 'DE'; skipped
  DEA19: no ISO3 for Eurostat country code 'DE'; skipped
  DEA1A: no ISO3 for Eurostat country code 'DE'; skipped
  DEA1B: no ISO3 for Eurostat country code 'DE'; skipped
  DEA1C: no ISO3 for Eurostat country code 'DE'; skipped
  DEA1D: no ISO3 for Eurostat country code 'DE'; skipped
  DEA1E: no ISO3 for Eurostat country code 'DE'; skipped
  DEA1F: no ISO3 for Eurostat country code 'DE'; skipped
  DEA22: no ISO3 for Eurostat country code 'DE'; skipped
  DEA23: no ISO3 for Eurostat country code 'DE'; skipped
  DEA24: no ISO3 for Eurostat country code 'DE'; skipped
  DEA26: no ISO3 for Eurostat country code 'DE'; skipped
  DEA27: no ISO3 for Eurostat country code 'DE'; skipped
  DEA28: no ISO3 for Eurostat country code 'DE'; skipped
  DEA29: no ISO3 for Eurostat country code 'DE'; skipped
  DEA2A: no ISO3 for Eurostat country code 'DE'; skipped
  DEA2B: no ISO3 for Eurostat country code 'DE'; skipped
  DEA2C: no ISO3 for Eurostat country code 'DE'; skipped
  DEA2D: no ISO3 for Eurostat country code 'DE'; skipped
  DEA31: no ISO3 for Eurostat country code 'DE'; skipped
  DEA32: no ISO3 for Eurostat country code 'DE'; skipped
  DEA33: no ISO3 for Eurostat country code 'DE'; skipped
  DEA34: no ISO3 for Eurostat country code 'DE'; skipped
  DEA35: no ISO3 for Eurostat country code 'DE'; skipped
  DEA36: no ISO3 for Eurostat country code 'DE'; skipped
  DEA37: no ISO3 for Eurostat country code 'DE'; skipped
  DEA38: no ISO3 for Eurostat country code 'DE'; skipped
  DEA41: no ISO3 for Eurostat country code 'DE'; skipped
  DEA42: no ISO3 for Eurostat country code 'DE'; skipped
  DEA43: no ISO3 for Eurostat country code 'DE'; skipped
  DEA44: no ISO3 for Eurostat country code 'DE'; skipped
  DEA45: no ISO3 for Eurostat country code 'DE'; skipped
  DEA46: no ISO3 for Eurostat country code 'DE'; skipped
  DEA47: no ISO3 for Eurostat country code 'DE'; skipped
  DEA51: no ISO3 for Eurostat country code 'DE'; skipped
  DEA52: no ISO3 for Eurostat country code 'DE'; skipped
  DEA53: no ISO3 for Eurostat country code 'DE'; skipped
  DEA54: no ISO3 for Eurostat country code 'DE'; skipped
  DEA55: no ISO3 for Eurostat country code 'DE'; skipped
