DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2023,201100,999,443,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,359400,999,410,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,234900,999,125,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,143500,999,414,99,36,
STATSNZ:CEN23_ECI_017(1.0),2023,317400,999,6,99,36,
STATSNZ:CEN23_ECI_017(1.0),2023,257901,999,441,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,310400,999,123,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,331000,999,7777,99,1158,
STATSNZ:CEN23_ECI_017(1.0),2023,336800,999,6,99,51,
STATSNZ:CEN23_ECI_017(1.0),2023,329600,999,7777,99,1524,
STATSNZ:CEN23_ECI_017(1.0),2023,136100,999,123,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,166801,999,411,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,327700,999,122,99,27,
STATSNZ:CEN23_ECI_017(1.0),2023,312100,999,413,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,311701,999,123,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,157301,999,300,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,301602,999,412,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,142202,999,3,99,105,
STATSNZ:CEN23_ECI_017(1.0),2023,177200,999,321,99,132,
STATSNZ:CEN23_ECI_017(1.0),2023,153100,999,410,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,220501,999,341,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,346000,999,414,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,183800,999,443,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,204200,999,341,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,150700,999,124,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,246200,999,311,99,408,
STATSNZ:CEN23_ECI_017(1.0),2023,032,999,443,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,172601,999,521,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,310102,999,371,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,18,999,443,99,75,
STATSNZ:CEN23_ECI_017(1.0),2023,250800,999,122,99,39,
STATSNZ:CEN23_ECI_017(1.0),2023,129101,999,414,99,51,
STATSNZ:CEN23_ECI_017(1.0),2023,302400,999,371,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,337500,999,9,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,147700,999,341,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,253700,999,311,99,147,
STATSNZ:CEN23_ECI_017(1.0),2023,168001,999,531,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,166000,999,311,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,125800,999,4,99,1200,
STATSNZ:CEN23_ECI_017(1.0),2023,220600,999,4,99,42,
STATSNZ:CEN23_ECI_017(1.0),2023,344500,999,421,99,27,
STATSNZ:CEN23_ECI_017(1.0),2023,109500,999,6,99,30,
STATSNZ:CEN23_ECI_017(1.0),2023,301800,999,126,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,336102,999,9999,99,2430,
STATSNZ:CEN23_ECI_017(1.0),2023,357200,999,5,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,146400,999,2,99,90,
STATSNZ:CEN23_ECI_017(1.0),2023,173000,999,413,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,306900,999,442,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,144800,999,410,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,227000,999,5,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,335001,999,331,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,235301,999,124,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,331900,999,341,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,197400,999,6,99,36,
STATSNZ:CEN23_ECI_017(1.0),2023,115100,999,442,99,21,
STATSNZ:CEN23_ECI_017(1.0),2023,231000,999,125,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,356400,999,7777,99,2121,
STATSNZ:CEN23_ECI_017(1.0),2023,230000,999,400,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,145500,999,129,99,36,
STATSNZ:CEN23_ECI_017(1.0),2023,191300,999,444,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,228200,999,5,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,134100,999,443,99,75,
STATSNZ:CEN23_ECI_017(1.0),2023,247300,999,300,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,197601,999,331,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,163100,999,441,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,217601,999,1,99,1218,
STATSNZ:CEN23_ECI_017(1.0),2023,121701,999,421,99,390,
STATSNZ:CEN23_ECI_017(1.0),2023,198100,999,7777,99,1980,
STATSNZ:CEN23_ECI_017(1.0),2023,056,999,6,99,294,
STATSNZ:CEN23_ECI_017(1.0),2023,165200,999,300,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,352500,999,100,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,159801,999,511,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,132800,999,125,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,224301,999,341,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,196400,999,413,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,121800,999,9999,99,3429,
STATSNZ:CEN23_ECI_017(1.0),2023,168400,999,361,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,194300,999,412,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,362501,999,100,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,151500,999,300,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,218600,999,341,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,307900,999,321,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,215700,999,1,99,1965,
STATSNZ:CEN23_ECI_017(1.0),2023,338200,999,123,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,07616,999,410,99,516,
STATSNZ:CEN23_ECI_017(1.0),2023,197900,999,414,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,304600,999,441,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,303100,999,371,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,227800,999,3,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,347501,999,7777,99,1431,
STATSNZ:CEN23_ECI_017(1.0),2023,345500,999,1,99,2625,
STATSNZ:CEN23_ECI_017(1.0),2023,188200,999,6,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,337600,999,414,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,142301,999,1,99,588,
STATSNZ:CEN23_ECI_017(1.0),2023,331700,999,122,99,27,
STATSNZ:CEN23_ECI_017(1.0),2023,123701,999,413,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,219401,999,4,99,30,
STATSNZ:CEN23_ECI_017(1.0),2023,165800,999,361,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,13,999,127,99,1995,
STATSNZ:CEN23_ECI_017(1.0),2023,358600,999,5,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,108900,999,441,99,0,
