adm3_name	adm3_name1	adm3_name2	adm3_name3	adm3_pcode	adm2_name	adm2_name1	adm2_name2	adm2_name3	adm2_pcode	adm1_name	adm1_name1	adm1_name2	adm1_name3	adm1_pcode	adm0_name	adm0_name1	adm0_name2	adm0_name3	adm0_pcode	valid_on	valid_to	area_sqkm	version	lang	lang1	lang2	lang3	adm3_ref_name	center_lat	center_lon
Al-Mansouriyah	المنصورية			IQG10Q01N02	Al-Khalis	الخالص			IQG10Q01	Diyala	ديالى			IQG10	Iraq	العراق			IQ	2019-06-03 00:00:00		814.81152548	v01	en	ar			Al-Mansouriyah	34.15780065	44.8117183
Al-Mashroo	المشروع			IQG07Q03N03	Al-Mahaweel	المحاويل			IQG07Q03	Babil	بابل			IQG07	Iraq	العراق			IQ	2019-06-03 00:00:00		813.52212498	v01	en	ar			Al-Mashroo	32.68510214	44.76679453
Al-Mihanawiya	المهناوية			IQG05Q04N01	Al-Shamiya	الشامية			IQG05Q04	Al-Qadissiya	القادسية			IQG05	Iraq	العراق			IQ	2019-06-03 00:00:00		520.46074814	v01	en	ar			Al-Mihanawiya	31.97057878	44.60679931
Al-Mowafaqiya	الموفقية			IQG18Q01N02	Al-Hai	الحي			IQG18Q01	Wassit	واسط			IQG18	Iraq	العراق			IQ	2019-06-03 00:00:00		1089.78798981	v01	en	ar			Al-Mowafaqiya	32.18144532	45.88351431
Al-Msharah	المشرح			IQG14Q03N02	Al-Kahla	الكحلاء			IQG14Q03	Maysan	ميسان			IQG14	Iraq	العراق			IQ	2019-06-03 00:00:00		2359.37112884	v01	en	ar			Al-Msharah	31.860479	47.37803379
Al-Muhamadath	المحمداث			IQG15Q05N04	Al-Mosul	الموصل			IQG15Q05	Ninewa	نينوى			IQG15	Iraq	العراق			IQ	2019-06-03 00:00:00		1858.33669534	v01	en	ar			Al-Muhamadath	36.26267445	42.79766408
Al-Multaka	الملتقى			IQG13Q04N03	Kirkuk	كركوك			IQG13Q04	Kirkuk	كركوك			IQG13	Iraq	العراق			IQ	2019-06-03 00:00:00		143.23579588	v01	en	ar			Al-Multaka	35.46530565	44.21213753
Al-Muotasim	المعتصم			IQG16Q05N01	Samarra	سامراء			IQG16Q05	Salah Al-Din	صلاح الدين			IQG16	Iraq	العراق			IQ	2019-06-03 00:00:00		279.74483127	v01	en	ar			Al-Muotasim	34.12795562	44.06536076
Al-Najmi	النجمي			IQG03Q02N03	Al-Rumaitha	الرميثة			IQG03Q02	Al-Muthanna	المثنى			IQG03	Iraq	العراق			IQ	2019-06-03 00:00:00		725.72481532	v01	en	ar			Al-Najmi	31.63768373	45.32203506
Al-Nashwa	النشوة			IQG02Q07N01	Shat Al-Arab	شط العرب			IQG02Q07	Al-Basrah	البصرة			IQG02	Iraq	العراق			IQ	2019-06-03 00:00:00		512.63598443	v01	en	ar			Al-Nashwa	30.88951709	47.63470891
