PLACE_EN	PLACE_AR	PLACE_ALT	ADM1_EN	ADM2_EN	ADM3_EN
Tall Humran	تل حمران	تل حمران	Thi Qar	Al-Shatra	Al-Dawaya
Tall Zarghal	تل زرغل	تل زرغل	Thi Qar	Al-Shatra	Al-Dawaya
Tuwayni	تويني	تويني	Thi Qar	Al-Shatra	Al-Dawaya
Abd al Qadir	عبد القادر	عبد القادر	Thi Qar	Al-Nasiriya	Al-Battha'a
Abd Al Washih	عبد آل وشيح	عبد آل وشيح	Thi Qar	Al-Nasiriya	Al-Battha'a
Abu Ali	أبو علي	أبو علي	Thi Qar	Al-Nasiriya	Al-Battha'a
Abu Gharib	أبو غريب	أبو غريب	Thi Qar	Al-Nasiriya	Al-Battha'a
Abu Samah	أبو سماح	أبو سماح	Thi Qar	Al-Nasiriya	Al-Battha'a
Abu Shabbanah	أبو شمبلانة	أبو شمبلانة	Thi Qar	Al-Nasiriya	Al-Battha'a
Abu Shujayr	أبو شجير	أبو شجير	Thi Qar	Al-Nasiriya	Al-Battha'a
Abu Tabar	أبو طبر	أبو طبر	Thi Qar	Al-Nasiriya	Al-Battha'a
Adi al Qadam	عدي القدم	عدي القدم	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Ajahid	ساجد الأجاحد	ساجد الأجاحد	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Awad	العواد	العواد	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Badr	كرد البدر	كرد البدر	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Banawad	البنود	البنود	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Budur	قبيلة البدور	البدور	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Falihiyah	الفالحية	الفالحية	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Ghazzi	آل غزي	آل غزي	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Hadidi	الحديدي	الحديدي	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Khidr	آل خضر	آل خضر	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Khidr Darush	الخضر دروش	الخضر دروش	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Maiyah	المعية	المعية	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Ubayd	العبيد	العبيد	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Umfuwah	الأمفوة	الأمفوة	Thi Qar	Al-Nasiriya	Al-Battha'a
Al Uzayrij	الأزيرج	الأزيرج	Thi Qar	Al-Nasiriya	Al-Battha'a
Albu Ali	آل بو علي	آل بو علي	Thi Qar	Al-Nasiriya	Al-Battha'a
Albu Tabar	آل بو طبر	آل بو طبر	Thi Qar	Al-Nasiriya	Al-Battha'a
Ali al Buwayram	علي البويرم	علي البويرم	Thi Qar	Al-Nasiriya	Al-Battha'a
Ar Rafyah	الرافعية	الرافعية	Thi Qar	Al-Nasiriya	Al-Battha'a
As Sayyid Abd Allah	السيد عبد الله	السيد عبد الله	Thi Qar	Al-Nasiriya	Al-Battha'a
As Sayyid Mahdi	السيد مهدي	السيد مهدي	Thi Qar	Al-Nasiriya	Al-Battha'a
As Sharifiya	الشريفية	الشريفية	Thi Qar	Al-Nasiriya	Al-Battha'a
As Sila	السيلا	السيلا	Thi Qar	Al-Nasiriya	Al-Battha'a
Ash Shukayri	الشكيري	الشكيري	Thi Qar	Al-Nasiriya	Al-Battha'a
Atshan	عطشان	عطشان	Thi Qar	Al-Nasiriya	Al-Battha'a
Auda Al Waham	عودة آل وهام	عودة آل وهام	Thi Qar	Al-Nasiriya	Al-Battha'a
Awaid al Khamis	عويد الخميس	عويد الخميس	Thi Qar	Al-Nasiriya	Al-Battha'a
Az Zawiyah	الزوية	الزوية	Thi Qar	Al-Nasiriya	Al-Battha'a
Bachai al Matir	بجاي آل مطير	بجاي آل مطير	Thi Qar	Al-Nasiriya	Al-Battha'a
Bidah	بدعة	بدعة	Thi Qar	Al-Nasiriya	Al-Battha'a
Bustan Thawini	بستان ثويني	بستان ثويني	Thi Qar	Al-Nasiriya	Al-Battha'a
Chali al Batish	غالي البطوش	غالي البطوش	Thi Qar	Al-Nasiriya	Al-Battha'a
Chanun as Saudi	جانون السعودي	جانون السعودي	Thi Qar	Al-Nasiriya	Al-Battha'a
Dar al Hukuma	دار الحكومة	دار الحكومة	Thi Qar	Al-Nasiriya	Al-Battha'a
Daura	دورة	دورة	Thi Qar	Al-Nasiriya	Al-Battha'a
Fahd as Sahid	فهد الصهيد	فهد الصهيد	Thi Qar	Al-Nasiriya	Al-Battha'a
Farhan Jijay	فرحان ججاي	فرحان بجاي	Thi Qar	Al-Nasiriya	Al-Battha'a
Furayhiyah	فريحية	فريحية	Thi Qar	Al-Nasiriya	Al-Battha'a
Ghazzi	غزي	غزي	Thi Qar	Al-Nasiriya	Al-Battha'a
Ghilan Al Anak	غيلان آل عنك	غيلان آل عنك	Thi Qar	Al-Nasiriya	Al-Battha'a
Guwam ash Sharif	كوام الشريف	كوام الشريف	Thi Qar	Al-Nasiriya	Al-Battha'a
Hachim al Habib	هاشم الحبيب	هاشم الحبيب	Thi Qar	Al-Nasiriya	Al-Battha'a
Hajj Ihlil	حاج إهليل	حاج إهليل	Thi Qar	Al-Nasiriya	Al-Battha'a
Hajj Khafi	حاج خفي	حاج خفي	Thi Qar	Al-Nasiriya	Al-Battha'a
Husain al Hunaish	حسين الحنيش	حسين الحنيش	Thi Qar	Al-Nasiriya	Al-Battha'a
Husain ash Shanober	حسين الشنوبر	حسين الشنوبر	Thi Qar	Al-Nasiriya	Al-Battha'a
Husayn ash Shiman	حسين الشيمان	حسين الشيمان	Thi Qar	Al-Nasiriya	Al-Battha'a
Imtaynahimah	إمطينهيمة	إمطينهيمة	Thi Qar	Al-Nasiriya	Al-Battha'a
Jabr Bijay	جبر بجاي	جبر بجاي	Thi Qar	Al-Nasiriya	Al-Battha'a
Jamaat al Kharita	جماعة الخريطة	جماعة الخريطة	Thi Qar	Al-Nasiriya	Al-Battha'a
Jazirah	جزيرة	جزيرة	Thi Qar	Al-Nasiriya	Al-Battha'a
Jufail	جفيل	جفيل	Thi Qar	Al-Nasiriya	Al-Battha'a
Kadhim al Hajpal	كاظم	كاظم	Thi Qar	Al-Nasiriya	Al-Battha'a
Mayi az Zayn	مايع الزين	مايع الزين	Thi Qar	Al-Nasiriya	Al-Battha'a
Mudayhimah	مضيهيمة	مضيهيمة	Thi Qar	Al-Nasiriya	Al-Battha'a
Nasir as Sukkar	ناصر السكر	ناصر السكر	Thi Qar	Al-Nasiriya	Al-Battha'a
Qalat Mufis	قلعة مفيس	قلعة مفيس	Thi Qar	Al-Nasiriya	Al-Battha'a
Qarya Kadhim al Hafaz	قرية كاظم الحفاظ	قرية كاظم الحفاظ	Thi Qar	Al-Nasiriya	Al-Battha'a
Rahman Albu Karun	رحمان آل بو كرون	رحمان آل بو كرون	Thi Qar	Al-Nasiriya	Al-Battha'a
Sabah Al Mashhad	صباح آل مشهد	صباح آل مشهد	Thi Qar	Al-Nasiriya	Al-Battha'a
Saddam	صدام	صدام	Thi Qar	Al-Nasiriya	Al-Battha'a
Satallah	صطلة	صطلة	Thi Qar	Al-Nasiriya	Al-Battha'a
Tala	طلعة	طلعة	Thi Qar	Al-Nasiriya	Al-Battha'a
Tall Shush	تل شوش	تل شوش	Thi Qar	Al-Nasiriya	Al-Battha'a
Ubayd Shurrush	عبيد شرش	عبيد شرش	Thi Qar	Al-Nasiriya	Al-Battha'a
Umm az Zuraytah	الشمخانيه	أم الظريطة	Thi Qar	Al-Nasiriya	Al-Battha'a
Uraybish al Hamad	أريبش الحمد	أريبش الحمد	Thi Qar	Al-Nasiriya	Al-Battha'a
Abd al Ghani	عبد الغني	عبد الغني	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Abu Awai	آل بو عويد	آل بو عويد	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Abu Khadir	أبو خضر	أبو خضر	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Al Hafiz	الحفيظ	الحفيظ	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Al Haj Ramdi	الحاج رمزي	الحاج رمزي	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Al Husaynat	الحسينات	الحسينات	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Al Saghir	الصغير	الصغير	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Albu Humaira	آل بو حميرة	آل بو حميرة	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Ali as Salim	علي السالم	علي السالم	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Ali Sultan	علي سلطان	علي سلطان	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Awaija	عويجة	عويجة	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Az Zuhayriyah	الزهيرية	الزهيرية	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Bahausa	باجوشة	باجوشة	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Dakdikah	دقدقة	دقدقة	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Furaih	فريح	فريح	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Hasan al Janih	حسن الجنيح	حسن الجنيح	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Hawwas	حواس	حواس	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Hudud	حدود	حدود	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Husain ath Shaya	حسين الشاية	حسين الشاية	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Husayn Abd Allah	حسين عبد الله	ابو حسن الحجيمي	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Ishan al Hamirat	إيشان الحميرات	إيشان الحميرات	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Ishan Umm Malwiyah	إيشان أم ملوية	إيشان أم ملوية	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Jabar	جابر	جابر	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Karim	كريم	كريم	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Khadra	خدر العبيد	خدر العبيد	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Khalaf al Shadhar	خلف الشذر	خلف الشذر	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Kharabat adh Dhahab	خرابة الذهب	خرابة الذهب	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Mahattat Ur	محطة أور	محطة أور	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Mudayhikah	مذيحيجة	مذيحيجة	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Mutlaq al Hasan	تل مطلك المحيسن	تل مطلك المحيسن	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Qala Saiyid Amin	قلعة سيد أمين	قلعة سيد أمين	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Qaryat al Humaysat al Janubiyah	قرية الحميسات الجنوبية	قرية الحميسات الجنوبية	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Qaryat al Karush	قرية الكروش	قرية الكروش	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Qaryat Al Sarhan	قرية آل سرحان	قرية آل سرحان	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Qaryat Hawmah	قرية حومة	قرية حومة	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Qaryat Matayji	قرية مطيجي	قرية مطيجي	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Radi al Bisharah	راضي البشارة	راضي البشارة	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Radi al Jasim	راضي الجاسم	راضي الجاسم	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Safha	صفحة	صفحة	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Saiyid Yusuf	سيد يوسف	سيد يوسف	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Salih	صالح	صالح	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Tall al Muraybt	تل المريبط	تل المريبط	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Tall Uzayniyah	تل أظينية	تل أظينية	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Ur	تقاطع أور	تقاطع أور	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Uwaybidah	عويبدة	عويبدة	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Uzayrij	أزيرج	أزيرج	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Zer Dayak	زير دايك	زير دايك	Thi Qar	Al-Nasiriya	Markaz Al-Nasiriya
Abd al Husayn	عبد الحسين	عبد الحسين	Thi Qar	Al-Nasiriya	Said Dekhil
Abd al Karim ar Rawdan	عبد الكريم الروضان	عبد الكريم الروضان	Thi Qar	Al-Nasiriya	Said Dekhil
Abudah	عابودة	عابودة	Thi Qar	Al-Nasiriya	Said Dekhil
Al Faratisah	الفراطسة	الفراطسة	Thi Qar	Al-Nasiriya	Said Dekhil
Al Hamra	الحمران	الحمران	Thi Qar	Al-Nasiriya	Said Dekhil
Al Hasan	ال حسن	الحسن	Thi Qar	Al-Nasiriya	Said Dekhil
Al Hasasira	الهصاصرة	الحصاصرة	Thi Qar	Al-Nasiriya	Said Dekhil
Al Khadr	الخضر	الخضر	Thi Qar	Al-Nasiriya	Said Dekhil
Al Madan	المعدان	المعدان	Thi Qar	Al-Nasiriya	Said Dekhil
Al Musaddaq	آل مصدق	آل مصدق	Thi Qar	Al-Nasiriya	Said Dekhil
Al Said	آل سعيد	آل سعيد	Thi Qar	Al-Nasiriya	Said Dekhil
Albu Jumah	آل بو جمعة	آل بو جمعة	Thi Qar	Al-Nasiriya	Said Dekhil
Albu Karadi	آل بو كريدي	آل بو كريدي	Thi Qar	Al-Nasiriya	Said Dekhil
Ali al Jazrah	علي الجزرة	علي الجزرة	Thi Qar	Al-Nasiriya	Said Dekhil
Allam Sadiq	علام صادق	علام صادق	Thi Qar	Al-Nasiriya	Said Dekhil
As Sulayhat	الصليحات	الصليحات	Thi Qar	Al-Nasiriya	Said Dekhil
At Tahiriya	الطاهرية	الطاهرية	Thi Qar	Al-Nasiriya	Said Dekhil
Buyut al Kuwam	بيوت الكوام	بيوت الكوام	Thi Qar	Al-Nasiriya	Said Dekhil
Chalab	جلوب	جلوب	Thi Qar	Al-Nasiriya	Said Dekhil
Imam Saiyid Dakhil	إمام سيد دخيل	إمام سيد دخيل	Thi Qar	Al-Nasiriya	Said Dekhil
Karim ar Rahi	كريم الراهي	كريم الراهي	Thi Qar	Al-Nasiriya	Said Dekhil
Kharaib Matshah	قلعه الشيخ مطشر	خرائب مطشر	Thi Qar	Al-Nasiriya	Said Dekhil
Mahdi Al Salih al Baghir	قلعه الشيخ طاهر الشاووش	مهدي آل صالح الباغر	Thi Qar	Al-Nasiriya	Said Dekhil
Maqbarat al Jalaliyah	مقبرة الجلالية	مقبرة الجلالية	Thi Qar	Al-Nasiriya	Said Dekhil
Muhalhal al Halluf	مهلهل الحلوف	مهلهل الحلوف	Thi Qar	Al-Nasiriya	Said Dekhil
Qaryat al Juraybah	قرية الجريبة	قرية الجريبة	Thi Qar	Al-Nasiriya	Said Dekhil
Saiyid Ali	سيد علي	سيد علي	Thi Qar	Al-Nasiriya	Said Dekhil
Saiyid Falih	سيد فليح	سيد فليح	Thi Qar	Al-Nasiriya	Said Dekhil
Tall Abu Jathawah	تل أبو جثاوة	تل أبو جثاوة	Thi Qar	Al-Nasiriya	Said Dekhil
Yaqub	يعقوب	يعقوب	Thi Qar	Al-Nasiriya	Said Dekhil
Abu ar Rus	أبو الروس	أبو الروس	Thi Qar	Al-Nasiriya	Al-Islah
Abu Zurug	أبو زروك	أبو زروك	Thi Qar	Al-Nasiriya	Al-Islah
Al Hamasah	الحماسة	الحماسة	Thi Qar	Al-Nasiriya	Al-Islah
Al Islah	قضاء الإصلاح	الإصلاح	Thi Qar	Al-Nasiriya	Al-Islah
Al Kardi	آل كردي	آل كردي	Thi Qar	Al-Nasiriya	Al-Islah
Al Khulaywi	طاهر الخليوي	طاهر الخليوي	Thi Qar	Al-Nasiriya	Al-Islah
Al Masahh	المصبح	المصح	Thi Qar	Al-Nasiriya	Al-Islah
Al Mushahir	المشاهر	المشاهر	Thi Qar	Al-Nasiriya	Al-Islah
Al Nahar	النهار	النهار	Thi Qar	Al-Nasiriya	Al-Islah
Albu Husayn	آل بو حسين	آل بو حسين	Thi Qar	Al-Nasiriya	Al-Islah
An Nahar	ساكت النهار	ساكت النهار	Thi Qar	Al-Nasiriya	Al-Islah
An Nasri	النصري	النصري	Thi Qar	Al-Nasiriya	Al-Islah
An Nuwasirah	النواصرة	النواصر	Thi Qar	Al-Nasiriya	Al-Islah
As Sarkal Dakhil	السركال دخيل	السركال دخيل	Thi Qar	Al-Nasiriya	Al-Islah
Ash Shaykh Salman an Nasr Allah	الشيخ سلمان النصر الله	الشيخ سلمان النصر الله	Thi Qar	Al-Nasiriya	Al-Islah
Badr	بدر الرميض	بدر الرميض	Thi Qar	Al-Nasiriya	Al-Islah
Dar Amir Hasan al Badr	دار عامر حسن البدر	دار عامر حسن البدر	Thi Qar	Al-Nasiriya	Al-Islah
Filh Hatim al Khilaywi	فلح حاتم الخليوي	فلح حاتم الخليوي	Thi Qar	Al-Nasiriya	Al-Islah
Fulayh Hatim	فليح حاتم	فليح حاتم	Thi Qar	Al-Nasiriya	Al-Islah
Ibaahi	العبادي	العبادي	Thi Qar	Al-Nasiriya	Al-Islah
Jabir az Zain	جابر الظعين	جابر الظعين	Thi Qar	Al-Nasiriya	Al-Islah
Laghwasi	لغواسي	لغواسي	Thi Qar	Al-Nasiriya	Al-Islah
Majalli	مجلي	مجلي	Thi Qar	Al-Nasiriya	Al-Islah
Manazil ash Shaykh Faris al Badr	منازل الشيخ فارس البدر	منازل الشيخ فارس البدر	Thi Qar	Al-Nasiriya	Al-Islah
Qaryat as Safaf	قرية الصفاف	قرية الصفاف	Thi Qar	Al-Nasiriya	Al-Islah
Rahim Bin Hawwas	رحيم بن حواس	رحيم بن حواس	Thi Qar	Al-Nasiriya	Al-Islah
Sahhab al Kurdi	سحاب الكردي	سحاب الكردي	Thi Qar	Al-Nasiriya	Al-Islah
Salaf al Hasawiya	سلف الناصاوية	سلف الناصاوية	Thi Qar	Al-Nasiriya	Al-Islah
Sulaiman an Nasrullah	سليمان النصر الله	سليمان النصر الله	Thi Qar	Al-Nasiriya	Al-Islah
Tall Hamad	تل حمد	تل حمد	Thi Qar	Al-Nasiriya	Al-Islah
Tall Khudayrah	تل خضيرة	تل خضيرة	Thi Qar	Al-Nasiriya	Al-Islah
Abd ar Rida alsabah	بني عبد الرضا ال صبح	بني عبد الرضا	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Abd Tahir	عبد طاهر	عبد طاهر	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Abu Hamadi ash Shamaliyah	أبو حمدي الشمالية	أبو حمدي الشمالية	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Abu Hamdan	أبو حمدان	أبو حمدان	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Al Akl	آل عكل	آل عكل	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Al Dakhil	آل مغشغش	آل دخيل	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
al dhiabia	الذيابيه	نخيل علي	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Al Hajjam Albu Uwayd	الحجام آل بو عويد	الحجام آل بو عويد	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Al Janubiyah	الجنوبية	الجنوبية	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Al Kurmashiyah al Gharbiyah	الكرماشية الغربية	الكرماشية الغربية	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Al Kurmashiyah ash Sharqiyah	الكرماشية الشرقية	الكرماشية الشرقية	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Al Muzayal	آل مزيعل	آل مزيعل	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Al ojan	العوجان	الدبيبة	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Al Thajil	آل ثجيل	آل ثجيل	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Al Yasiriyah	الياسرية	الياسرية	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
alahmas	ال شميس	المديزة	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Albu Hamdan	آل بو حمدان	آل بو حمدان	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Albu Humaydi	آل بو حميدي	آل بو حميدي	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
album.hamdan	آلبو حمدان .المديزة	آل شميس	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Arab ash Shakhah	عرب الشاخة	عرب الشاخة	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Ash Shaald	الشعلة	الشعلة	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Ash Shabib	الشبيب	الشبيب	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Ash Shamaliyah	الشمالية	الشمالية	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
At Tahmaziyah	الطهمازية	الطهمازية	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Atshan al Jabir	عطشان الجابر	عطشان الجابر	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Bahr	نهر الغريفية	نهر الغريفية	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Bisharah	بشارة	بشارة	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Dahham Shallal	دحام شلال	دحام شلال	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Farhud al Ghandi	فرهود الغندي	فرهود الغندي	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Hajar	حجر	حجر	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Haji Arid	حاج عريد	حاج عريد	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Hajj Hindahal	حاج هندهال	حاج هندهال	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Hasamah	حسامة	حسامة	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Karmat Bani Saad	كرمة بني سعيد	كرمة بني سعيد	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Khuttar al Muzan	خطار الموزان	خطار الموزان	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Kuraydi al Husayn	كريدي الحسين	كريدي الحسين	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Maarud	مرود	مرود	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Mawajid	مواجد	مواجد	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Mushayrajah	مشيرجة ال حسن	مشيرجة	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Muzayal	مزيعل	مزيعل	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Naib Bin Husayn	نائب بن حسين	نائب بن حسين	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Rashid al Mashad	رشيد المشد	رشيد المشد	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Saiyid Namah	سيد نعمة	سيد نعمة	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Salih az Zayal	صالح الزيعل	صالح الزيعل	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Sayyid Bartu	سيد برتو	سيد برتو	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Shalash	شلش الموح	شلش الموح	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Shallal al Ali	شلال العلي	شلال العلي	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Sharqiyah	شرقية	شرقية	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Subbah	صبة	صبة	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Umm ad Dayri	أم الديري	أم الديري	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Umm al Nakhla	أم نخلان	أم نخلان	Thi Qar	Suq Al-Shoyokh	Garmat Beni Said
Al Bithij	البثج	آل بثج	Thi Qar	Suq Al-Shoyokh	Al-Tar
Al Fahd	ً	الفهد	Thi Qar	Suq Al-Shoyokh	Al-Tar
Al Harb	آل حرب	آل حرب	Thi Qar	Suq Al-Shoyokh	Al-Tar
Al Karimat	الكريمات	الكريمات	Thi Qar	Suq Al-Shoyokh	Al-Tar
Albu Khalifah	آل بو خليفة	آل بو خليفة	Thi Qar	Suq Al-Shoyokh	Al-Tar
Albu Salih	آل بو صالح	آل بو صالح	Thi Qar	Suq Al-Shoyokh	Al-Tar
Albu Shukhayr	آل بو شخير	آل بو شخير	Thi Qar	Suq Al-Shoyokh	Al-Tar
Arab al Muzayrib	عرب المزيريب	عرب المزيريب	Thi Qar	Suq Al-Shoyokh	Al-Tar
At Tar	الطار	الطار	Thi Qar	Suq Al-Shoyokh	Al-Tar
Hajj Hatim	حاج حاتم	حاج حاتم	Thi Qar	Suq Al-Shoyokh	Al-Tar
Jazirat al Bisharah	جزيرة بشارة	جزيرة بشارة	Thi Qar	Suq Al-Shoyokh	Al-Tar
Machree Alsaada	مچري السادة	سيد جبر	Thi Qar	Suq Al-Shoyokh	Al-Tar
Malalih	ملالح	ملالح	Thi Qar	Suq Al-Shoyokh	Al-Tar
Muhsin al Khazal	محسن الخزعل	محسن الخزعل	Thi Qar	Suq Al-Shoyokh	Al-Tar
Umm Shajaj	أم شجاج	أم شجاج	Thi Qar	Suq Al-Shoyokh	Al-Tar
Abd Allah	عبد الله	عبد الله	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Abu Hamadi al Janubiyah	أبو حمدي الجنوبية	أبو حمدي الجنوبية	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Al Bassah	البصة	البصة	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Al Farhah	الفرهة	الفرهة	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Al Khamisiya	الخميسية	الخميسية	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Al Yusuf	اليوسف	اليوسف	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
As Sabah	الصبة	الصبة	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Awdah	عودة	عودة	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Ghamais	غميس	غميس	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Hachcham	حكام عشائر حجام ال كاصد	حكام	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Haji Junaiya	حاجي جنية	حاجي جنية	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Hajjam	حجام	حجام	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Hujrat Malihah	حجرة مليحة	حجرة مليحة	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Jabal al Himar	جبل الحمار	جبل الحمار	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Makhlaf	مخلف	مخلف	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Manazil al Hajana	منازل الهجانة	منازل الهجانة	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Matus al Mahniyah	مطعوس المهنية	مطعوس المهنية	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
Saiyid Mehdi	سيد مهدي	سيد مهدي	Thi Qar	Suq Al-Shoyokh	Al-Fadhliya
